FamilyID	Amborella_trichopoda<1>	Hordeum_vulgare<2>	Secale_cereale<3>	Triticum_turgidum<4>	Aegilops_tauschii<5>	Triticum_aestivum<6>	Brachypodium_distachyon<7>	Sorghum_bicolor<8>	Zea_mays<9>	Setaria_viridis<10>	Setaria_italica<11>	Oropetium_thomaeum<12>	Ananas_comosus<13>	Musa_acuminata<14>	Calamus_simplicifolius<15>	Elaeis_guineensis<16>	Allium_sativum<17>	Asparagus_officinalis<18>	Zostera_marina<19>	Spirodela_polyrhiza<20>	Magnolia_biondii<21>	Ceratophyllum_demersum<22>	Aquilegia_oxysepala<23>	Papaver_somniferum<24>	Nelumbo_nucifera<25>	Trochodendron_aralioides<26>	Nicotiana_tabacum<27>	Capsicum_annuum<28>	Solanum_pennellii<29>	Solanum_lycopersicum<30>	Solanum_tuberosum<31>	Petunia_axillaris<32>	Coffea_canephora<33>	Striga_asiatica<34>	Avicennia_marina<35>	Utricularia_gibba<36>	Olea_europaea<37>	Helianthus_annuus<38>	Erigeron_canadensis<39>	Lactuca_sativa<40>	Daucus_carota<41>	Lonicera_japonica<42>	Davidia_involucrata<43>	Hydrangea_macrophylla<44>	Rhododendron_simsii<45>	Actinidia_chinensis<46>	Beta_vulgaris<47>	Chenopodium_quinoa<48>	Amaranthus_hybridus<49>	Simmondsia_chinensis<50>	Vitis_vinifera<51>	Punica_granatum<52>	Eucalyptus_grandis<53>	Cannabis_sativa<54>	Fragaria_vesca<55>	Rosa_chinensis<56>	Malus_domestica<57>	Prunus_persica<58>	Cucumis_melo<59>	Citrullus_lanatus<60>	Glycine_max<61>	Medicago_truncatula<62>	Trifolium_pratense<63>	Lotus_japonicus<64>	Arachis_hypogaea<65>	Carya_illinoinensis<66>	Carpinus_fangiana<67>	Manihot_esculenta<68>	Populus_trichocarpa<69>	Tripterygium_wilfordii<70>	Citrus_clementina<71>	Brassica_rapa<72>	Brassica_napus<73>	Brassica_oleracea<74>	Schrenkiella_parvula<75>	Eutrema_salsugineum<76>	Capsella_rubella<77>	Arabidopsis_lyrata<78>	Arabidopsis_thaliana<79>	Cardamine_hirsuta<80>	Aethionema_arabicum<81>	Tarenaya_hassleriana<82>	Carica_papaya<83>	Durio_zibethinus<84>	Gossypium_hirsutum<85>	Gossypium_raimondii<86>	<87>	<88>	<89>	<90>	<91>	<92>	<93>	<94>	<95>	<96>	<97>	<98>	<99>	<100>	<101>	<102>	<103>	<104>	<105>	<106>	<107>	<108>	<109>	<110>	<111>	<112>	<113>	<114>	<115>	<116>	<117>	<118>	<119>	<120>	<121>	<122>	<123>	<124>	<125>	<126>	<127>	<128>	<129>	<130>	<131>	<132>	<133>	<134>	<135>	<136>	<137>	<138>	<139>	<140>	<141>	<142>	<143>	<144>	<145>	<146>	<147>	<148>	<149>	<150>	<151>	<152>	<153>	<154>	<155>	<156>	<157>	<158>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>
93_fam	16	0	0	0	0	0	0	-4	38	0	0	-1	-1	-1	0	0	0	0	-2	-2	28	2	-4	1	0	16	4	7	-8	16	-5	-6	2	-2	-2	-4	0	10	-4	1	7	-1	1	-5	6	7	-2	4	-5	-5	14	-5	10	-3	-5	7	7	-3	1	-2	28	-2	2	-11	7	-1	1	-3	17	-1	1	-3	11	0	-2	-3	-2	-2	8	-2	-2	-1	-3	-6	13	-6	0	0	-11	-1	0	0	0	-1	0	0	0	0	0	0	3	-1	0	-1	-1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	1	2	-1	1	-1	-2	0	1	4	0	1	0	-1	5	-2	-2	0	0	0	1	0	0	0	0	2	1	1	-3	0	8	0	-1	1	-1	0	0	2	0	0	-2	-3	0	0	0	0	5	5	-1	0	1	3	8
98_fam	21	0	0	0	0	0	0	-2	19	0	0	-1	-1	-1	0	0	0	0	-2	-2	25	6	2	4	2	10	4	3	-3	3	-2	-3	-1	-5	-4	2	8	12	-4	2	0	14	11	0	3	-5	-5	6	-3	-3	1	-9	20	-10	-3	23	1	-2	2	-2	24	-4	2	-10	5	5	-3	-10	39	-8	0	-4	16	-1	-3	-3	-2	-1	6	1	-3	-1	-6	-1	4	-3	0	0	-12	-1	0	0	0	-1	0	0	0	0	0	0	1	-1	0	-1	-1	0	1	0	0	1	0	0	0	0	0	0	-2	0	-1	0	0	-1	0	-1	-3	0	3	5	0	1	0	1	-2	-2	-2	0	0	0	2	0	0	0	2	7	9	0	-4	0	3	0	-1	-2	1	0	0	3	-1	0	-2	-2	0	0	0	0	5	4	1	1	2	1	2
101_fam	8	-3	-3	2	-6	17	-2	-7	22	0	0	-3	-2	12	3	-2	8	-5	-4	-4	13	12	-8	4	3	4	9	0	-4	9	-4	-2	-5	-1	4	-4	11	11	-3	-3	-1	-1	1	-3	-4	7	-4	3	2	-4	-1	-2	-4	-5	0	-2	6	-4	1	-2	36	3	-7	-9	25	3	-5	-3	17	0	-5	-3	19	-2	1	-5	-2	-3	10	-3	-5	2	-4	-1	11	-7	0	0	0	0	0	0	0	0	1	1	3	0	0	1	4	-4	0	0	1	-1	0	0	0	-1	0	0	0	0	0	0	1	0	1	0	-1	-1	1	0	-1	0	0	2	0	0	0	0	0	-2	-1	0	0	0	-3	0	0	0	-1	-1	-2	0	-5	0	13	0	-2	-4	-2	0	1	3	0	0	-1	-1	0	0	1	1	8	4	-1	0	2	5	5
102_fam	16	0	0	0	0	0	0	-3	30	0	0	-1	-1	-1	0	0	0	0	-1	-1	8	22	-1	4	-1	3	9	3	-4	8	-3	-6	-3	-1	-5	-2	29	5	-4	3	-1	6	3	0	0	4	-2	8	-4	-2	-6	-4	1	-5	-3	9	3	-2	0	0	21	-1	-1	-6	12	-3	2	-6	11	-3	-2	-3	12	-2	-3	-2	-2	-3	9	0	-2	-4	0	-2	6	-4	0	0	-10	0	0	0	0	-1	0	0	0	0	0	0	2	-1	0	-1	-1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	-1	0	0	-3	0	1	1	0	0	0	0	2	-1	0	1	0	0	-2	0	0	0	0	3	2	1	-4	0	8	0	-1	-2	0	0	0	1	0	0	0	0	1	0	0	0	4	3	0	0	2	-1	2
103_fam	6	0	0	0	0	0	0	-5	57	0	0	-1	-1	-1	0	0	0	0	-1	-1	19	13	-3	7	-2	2	13	-3	-6	16	-4	0	-5	-1	-2	1	2	9	-2	-1	0	1	3	-3	3	5	-5	13	-4	-4	-2	-2	1	-4	0	-1	8	-4	1	-1	45	-3	-1	-7	4	1	-3	0	15	0	-3	-2	19	-4	-4	-2	-2	-5	13	0	-4	-2	-4	-1	11	-7	0	0	-9	0	0	0	0	-1	0	0	0	0	0	0	4	-1	0	-1	-1	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	-1	1	2	0	-1	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	-2	0	8	1	-1	-2	-1	0	1	3	0	0	0	1	0	1	1	0	8	3	0	0	2	7	5
104_fam	4	0	0	0	0	0	0	-3	34	0	0	-1	-1	-1	0	0	0	0	-1	-1	5	18	-4	8	7	0	9	-2	-4	7	-2	-1	-5	2	0	-8	10	10	-3	0	1	1	3	-2	-2	7	-4	4	-2	-2	-1	-1	-2	-5	-2	-1	9	-2	1	-2	31	-1	-3	-6	7	1	-3	-2	17	-3	-4	-2	20	-4	-4	-3	-3	-3	8	0	-3	1	-4	-1	13	-7	0	0	-9	0	0	0	0	-1	0	0	0	0	0	0	2	-1	0	-1	-1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	1	0	-1	0	1	3	0	0	0	0	2	-1	-1	0	0	0	-1	0	0	0	0	0	-1	1	-2	0	4	0	-1	-4	-1	0	1	3	0	0	0	1	0	1	1	1	11	3	0	0	2	7	7
105_fam	-2	-4	1	1	-11	26	-5	-4	10	0	0	-7	-4	4	0	-1	16	-8	-3	-5	11	5	-6	17	-1	4	9	3	-8	14	-3	-3	-4	-1	-1	-4	5	16	-6	0	7	-8	-3	-3	1	-1	-5	14	-3	-5	-9	0	-1	-5	0	0	4	-4	1	-1	32	2	-3	-4	-4	0	2	-4	13	3	-6	-1	24	-4	-4	-3	-2	-4	8	-3	-4	-1	-6	-3	11	-6	0	0	-1	0	0	0	0	2	5	3	2	0	0	1	2	-3	0	-1	1	-1	0	0	0	1	0	0	0	0	0	0	1	0	6	1	2	1	1	0	-1	0	0	4	0	0	0	-1	-1	0	2	1	0	0	-1	0	0	0	-1	-1	-1	0	-4	0	3	0	-1	-2	0	0	1	1	0	0	-1	1	1	1	1	1	11	4	0	1	2	5	6
109_fam	30	0	0	0	0	0	0	-3	25	0	0	-1	-1	-1	0	0	0	0	-2	-2	12	17	-3	14	-3	6	11	-1	-5	12	-3	-3	1	0	-4	1	3	6	-3	-1	6	0	1	-1	-4	3	-3	5	-3	-4	-2	-2	2	-5	-3	5	6	-3	0	0	25	-2	2	-7	3	-2	0	-3	15	0	-1	-1	17	-3	-3	-3	-3	-3	11	-2	-4	-1	-3	0	9	-6	0	-1	-10	-1	0	0	0	-1	0	0	0	0	0	0	2	-1	0	-1	-1	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	1	1	0	-3	0	6	0	-1	0	-1	0	0	2	0	0	0	0	0	0	1	0	8	3	0	1	2	3	3
110_fam	9	-3	-3	4	-8	19	-4	-3	6	0	0	-4	-5	-3	3	-2	11	-4	-4	-4	17	6	0	9	-1	-4	6	1	-4	10	-3	-3	-4	-4	-4	-1	2	11	-3	-3	3	2	1	-8	0	5	-6	15	-2	-7	5	-7	7	-7	-7	16	3	-4	2	-3	21	-2	8	-14	14	-2	0	-7	17	-9	-5	-1	11	-2	-2	-2	-1	-3	6	1	-4	-1	0	-3	8	-4	0	0	-1	0	0	0	-1	2	5	2	5	1	0	0	0	-2	0	1	2	-1	0	0	0	2	0	0	0	0	0	0	-1	0	1	0	0	0	1	-1	-3	0	1	1	0	0	0	-1	2	-1	1	1	0	0	-1	0	0	0	0	2	3	0	-4	0	13	0	-1	3	-2	0	0	1	-1	0	-1	-3	0	0	0	0	2	1	0	0	1	1	4
111_fam	3	0	0	0	0	0	0	-2	17	0	0	-1	-1	-1	0	0	0	0	-1	-1	9	-2	-2	1	-2	5	9	-1	-4	8	-3	-1	-2	1	0	-7	5	4	-2	3	8	-1	3	-2	0	-1	2	5	-6	-2	-3	-3	4	-8	-2	21	6	0	3	-4	21	-6	2	-4	10	2	2	-2	6	0	7	-2	14	-2	-3	-2	-1	-2	7	-1	-1	-3	-4	-1	6	-5	0	0	-7	0	0	0	0	-1	0	0	0	0	0	0	1	-1	0	-1	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	-2	0	1	1	0	1	0	0	0	0	1	1	0	2	0	0	1	1	4	12	10	2	-2	0	8	0	-1	-2	1	0	0	1	0	0	0	0	0	0	0	0	4	3	0	0	1	1	2
