species	name	taxid	ncbi_species	family	order	class	superclass	subphylum	phylum
ped	Phyllostachys edulis	38705	Phyllostachys edulis	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
pha	Panicum hallii	206008	Panicum hallii	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
sbi	Sorghum bicolor	4558	Sorghum bicolor	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
sce	Secale cereale	4550	Secale cereale	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
sit	Setaria italica	4555	Setaria italica	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
spo	Spirodela polyrhiza	29656	Spirodela polyrhiza	Araceae	Alismatales	Magnoliopsida	NA	Streptophytina	Streptophyta
ssp	Saccharum spontaneum	62335	Saccharum spontaneum	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
svi	Setaria viridis	4556	Setaria viridis	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
tae	Triticum aestivum	4565	Triticum aestivum	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
tdi	Triticum dicoccoides	85692	Triticum dicoccoides	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
ttu	Triticum turgidum	4567	Triticum turgidum	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
zjn	Zoysia japonica ssp. nagirizaki	309978	Zoysia japonica	Poaceae	Poales	Magnoliopsida	NA	Streptophytina	Streptophyta
zosmarina	Zostera marina	29655	Zostera marina	Zosteraceae	Alismatales	Magnoliopsida	NA	Streptophytina	Streptophyta
